topic,body
grain,"u.s. agricultur depart report farmer-own reserv nation five-day averag price februari 25 follow ( dlrs/bu-sorghum cwt ) - natl loan releas call avg rate-x level price price wheat 2.55 2.40 iv 4.65 -- v 4.65 -- vi 4.45 -- corn 1.35 1.92 iv 3.15 3.15 v 3.25 -- x - 1986 rate . natl loan releas call avg rate-x level price price oat 1.24 0.99 v 1.65 -- barley n.a . 1.56 iv 2.55 2.55 v 2.65 -- sorghum 2.34 3.25-i iv 5.36 5.36 v 5.54 -- reserv , ii iii matur . level iv reflect grain enter oct 6 , 1981 feedgrain juli 23 , 1981 wheat . level v wheat/barley 5/14/82 , corn/sorghum 7/1/82 . level vi cover wheat enter januari 19 , 1984 . x-1986 rate . y-dlr per cwt ( 100 lb ) . n.a.-not avail . reuter  "
wheat,"u.s. agricultur depart report farmer-own reserv nation five-day averag price februari 25 follow ( dlrs/bu-sorghum cwt ) - natl loan releas call avg rate-x level price price wheat 2.55 2.40 iv 4.65 -- v 4.65 -- vi 4.45 -- corn 1.35 1.92 iv 3.15 3.15 v 3.25 -- x - 1986 rate . natl loan releas call avg rate-x level price price oat 1.24 0.99 v 1.65 -- barley n.a . 1.56 iv 2.55 2.55 v 2.65 -- sorghum 2.34 3.25-i iv 5.36 5.36 v 5.54 -- reserv , ii iii matur . level iv reflect grain enter oct 6 , 1981 feedgrain juli 23 , 1981 wheat . level v wheat/barley 5/14/82 , corn/sorghum 7/1/82 . level vi cover wheat enter januari 19 , 1984 . x-1986 rate . y-dlr per cwt ( 100 lb ) . n.a.-not avail . reuter  "
corn,"u.s. agricultur depart report farmer-own reserv nation five-day averag price februari 25 follow ( dlrs/bu-sorghum cwt ) - natl loan releas call avg rate-x level price price wheat 2.55 2.40 iv 4.65 -- v 4.65 -- vi 4.45 -- corn 1.35 1.92 iv 3.15 3.15 v 3.25 -- x - 1986 rate . natl loan releas call avg rate-x level price price oat 1.24 0.99 v 1.65 -- barley n.a . 1.56 iv 2.55 2.55 v 2.65 -- sorghum 2.34 3.25-i iv 5.36 5.36 v 5.54 -- reserv , ii iii matur . level iv reflect grain enter oct 6 , 1981 feedgrain juli 23 , 1981 wheat . level v wheat/barley 5/14/82 , corn/sorghum 7/1/82 . level vi cover wheat enter januari 19 , 1984 . x-1986 rate . y-dlr per cwt ( 100 lb ) . n.a.-not avail . reuter  "
veg,"argentin grain board figur show crop registr grain , oilse product februari 11 , thousand tonn , show futur shipment month , 1986/87 total 1985/86 total februari 12 , 1986 , bracket : bread wheat prev 1,655.8 , feb 872.0 , march 164.6 , total 2,692.4 ( 4,161.0 ) . maiz mar 48.0 , total 48.0 ( nil ) . sorghum nil ( nil ) oilse export registr : sunflowerse total 15.0 ( 7.9 ) soybean may 20.0 , total 20.0 ( nil ) board also detail export registr subproduct , follow , subproduct wheat prev 39.9 , feb 48.7 , march 13.2 , apr 10.0 , total 111.8 ( 82.7 ) . linse prev 34.8 , feb 32.9 , mar 6.8 , apr 6.3 , total 80.8 ( 87.4 ) . soybean prev 100.9 , feb 45.1 , mar nil , apr nil , may 20.0 , total 166.1 ( 218.5 ) . sunflowerse prev 48.6 , feb 61.5 , mar 25.1 , apr 14.5 , total 149.8 ( 145.3 ) . veget oil registr : sunoil prev 37.4 , feb 107.3 , mar 24.5 , apr 3.2 , may nil , jun 10.0 , total 182.4 ( 117.6 ) . linoil prev 15.9 , feb 23.6 , mar 20.4 , apr 2.0 , total 61.8 , ( 76.1 ) . soybean oil prev 3.7 , feb 21.1 , mar nil , apr 2.0 , may 9.0 , jun 13.0 , jul 7.0 , total 55.8 ( 33.7 ) . reuter  "
oil,"argentin grain board figur show crop registr grain , oilse product februari 11 , thousand tonn , show futur shipment month , 1986/87 total 1985/86 total februari 12 , 1986 , bracket : bread wheat prev 1,655.8 , feb 872.0 , march 164.6 , total 2,692.4 ( 4,161.0 ) . maiz mar 48.0 , total 48.0 ( nil ) . sorghum nil ( nil ) oilse export registr : sunflowerse total 15.0 ( 7.9 ) soybean may 20.0 , total 20.0 ( nil ) board also detail export registr subproduct , follow , subproduct wheat prev 39.9 , feb 48.7 , march 13.2 , apr 10.0 , total 111.8 ( 82.7 ) . linse prev 34.8 , feb 32.9 , mar 6.8 , apr 6.3 , total 80.8 ( 87.4 ) . soybean prev 100.9 , feb 45.1 , mar nil , apr nil , may 20.0 , total 166.1 ( 218.5 ) . sunflowerse prev 48.6 , feb 61.5 , mar 25.1 , apr 14.5 , total 149.8 ( 145.3 ) . veget oil registr : sunoil prev 37.4 , feb 107.3 , mar 24.5 , apr 3.2 , may nil , jun 10.0 , total 182.4 ( 117.6 ) . linoil prev 15.9 , feb 23.6 , mar 20.4 , apr 2.0 , total 61.8 , ( 76.1 ) . soybean oil prev 3.7 , feb 21.1 , mar nil , apr 2.0 , may 9.0 , jun 13.0 , jul 7.0 , total 55.8 ( 33.7 ) . reuter  "
soybean,"argentin grain board figur show crop registr grain , oilse product februari 11 , thousand tonn , show futur shipment month , 1986/87 total 1985/86 total februari 12 , 1986 , bracket : bread wheat prev 1,655.8 , feb 872.0 , march 164.6 , total 2,692.4 ( 4,161.0 ) . maiz mar 48.0 , total 48.0 ( nil ) . sorghum nil ( nil ) oilse export registr : sunflowerse total 15.0 ( 7.9 ) soybean may 20.0 , total 20.0 ( nil ) board also detail export registr subproduct , follow , subproduct wheat prev 39.9 , feb 48.7 , march 13.2 , apr 10.0 , total 111.8 ( 82.7 ) . linse prev 34.8 , feb 32.9 , mar 6.8 , apr 6.3 , total 80.8 ( 87.4 ) . soybean prev 100.9 , feb 45.1 , mar nil , apr nil , may 20.0 , total 166.1 ( 218.5 ) . sunflowerse prev 48.6 , feb 61.5 , mar 25.1 , apr 14.5 , total 149.8 ( 145.3 ) . veget oil registr : sunoil prev 37.4 , feb 107.3 , mar 24.5 , apr 3.2 , may nil , jun 10.0 , total 182.4 ( 117.6 ) . linoil prev 15.9 , feb 23.6 , mar 20.4 , apr 2.0 , total 61.8 , ( 76.1 ) . soybean oil prev 3.7 , feb 21.1 , mar nil , apr 2.0 , may 9.0 , jun 13.0 , jul 7.0 , total 55.8 ( 33.7 ) . reuter  "
oilseed,"argentin grain board figur show crop registr grain , oilse product februari 11 , thousand tonn , show futur shipment month , 1986/87 total 1985/86 total februari 12 , 1986 , bracket : bread wheat prev 1,655.8 , feb 872.0 , march 164.6 , total 2,692.4 ( 4,161.0 ) . maiz mar 48.0 , total 48.0 ( nil ) . sorghum nil ( nil ) oilse export registr : sunflowerse total 15.0 ( 7.9 ) soybean may 20.0 , total 20.0 ( nil ) board also detail export registr subproduct , follow , subproduct wheat prev 39.9 , feb 48.7 , march 13.2 , apr 10.0 , total 111.8 ( 82.7 ) . linse prev 34.8 , feb 32.9 , mar 6.8 , apr 6.3 , total 80.8 ( 87.4 ) . soybean prev 100.9 , feb 45.1 , mar nil , apr nil , may 20.0 , total 166.1 ( 218.5 ) . sunflowerse prev 48.6 , feb 61.5 , mar 25.1 , apr 14.5 , total 149.8 ( 145.3 ) . veget oil registr : sunoil prev 37.4 , feb 107.3 , mar 24.5 , apr 3.2 , may nil , jun 10.0 , total 182.4 ( 117.6 ) . linoil prev 15.9 , feb 23.6 , mar 20.4 , apr 2.0 , total 61.8 , ( 76.1 ) . soybean oil prev 3.7 , feb 21.1 , mar nil , apr 2.0 , may 9.0 , jun 13.0 , jul 7.0 , total 55.8 ( 33.7 ) . reuter  "
corn,"argentin grain board figur show crop registr grain , oilse product februari 11 , thousand tonn , show futur shipment month , 1986/87 total 1985/86 total februari 12 , 1986 , bracket : bread wheat prev 1,655.8 , feb 872.0 , march 164.6 , total 2,692.4 ( 4,161.0 ) . maiz mar 48.0 , total 48.0 ( nil ) . sorghum nil ( nil ) oilse export registr : sunflowerse total 15.0 ( 7.9 ) soybean may 20.0 , total 20.0 ( nil ) board also detail export registr subproduct , follow , subproduct wheat prev 39.9 , feb 48.7 , march 13.2 , apr 10.0 , total 111.8 ( 82.7 ) . linse prev 34.8 , feb 32.9 , mar 6.8 , apr 6.3 , total 80.8 ( 87.4 ) . soybean prev 100.9 , feb 45.1 , mar nil , apr nil , may 20.0 , total 166.1 ( 218.5 ) . sunflowerse prev 48.6 , feb 61.5 , mar 25.1 , apr 14.5 , total 149.8 ( 145.3 ) . veget oil registr : sunoil prev 37.4 , feb 107.3 , mar 24.5 , apr 3.2 , may nil , jun 10.0 , total 182.4 ( 117.6 ) . linoil prev 15.9 , feb 23.6 , mar 20.4 , apr 2.0 , total 61.8 , ( 76.1 ) . soybean oil prev 3.7 , feb 21.1 , mar nil , apr 2.0 , may 9.0 , jun 13.0 , jul 7.0 , total 55.8 ( 33.7 ) . reuter  "
grain,"argentin grain board figur show crop registr grain , oilse product februari 11 , thousand tonn , show futur shipment month , 1986/87 total 1985/86 total februari 12 , 1986 , bracket : bread wheat prev 1,655.8 , feb 872.0 , march 164.6 , total 2,692.4 ( 4,161.0 ) . maiz mar 48.0 , total 48.0 ( nil ) . sorghum nil ( nil ) oilse export registr : sunflowerse total 15.0 ( 7.9 ) soybean may 20.0 , total 20.0 ( nil ) board also detail export registr subproduct , follow , subproduct wheat prev 39.9 , feb 48.7 , march 13.2 , apr 10.0 , total 111.8 ( 82.7 ) . linse prev 34.8 , feb 32.9 , mar 6.8 , apr 6.3 , total 80.8 ( 87.4 ) . soybean prev 100.9 , feb 45.1 , mar nil , apr nil , may 20.0 , total 166.1 ( 218.5 ) . sunflowerse prev 48.6 , feb 61.5 , mar 25.1 , apr 14.5 , total 149.8 ( 145.3 ) . veget oil registr : sunoil prev 37.4 , feb 107.3 , mar 24.5 , apr 3.2 , may nil , jun 10.0 , total 182.4 ( 117.6 ) . linoil prev 15.9 , feb 23.6 , mar 20.4 , apr 2.0 , total 61.8 , ( 76.1 ) . soybean oil prev 3.7 , feb 21.1 , mar nil , apr 2.0 , may 9.0 , jun 13.0 , jul 7.0 , total 55.8 ( 33.7 ) . reuter  "
wheat,"argentin grain board figur show crop registr grain , oilse product februari 11 , thousand tonn , show futur shipment month , 1986/87 total 1985/86 total februari 12 , 1986 , bracket : bread wheat prev 1,655.8 , feb 872.0 , march 164.6 , total 2,692.4 ( 4,161.0 ) . maiz mar 48.0 , total 48.0 ( nil ) . sorghum nil ( nil ) oilse export registr : sunflowerse total 15.0 ( 7.9 ) soybean may 20.0 , total 20.0 ( nil ) board also detail export registr subproduct , follow , subproduct wheat prev 39.9 , feb 48.7 , march 13.2 , apr 10.0 , total 111.8 ( 82.7 ) . linse prev 34.8 , feb 32.9 , mar 6.8 , apr 6.3 , total 80.8 ( 87.4 ) . soybean prev 100.9 , feb 45.1 , mar nil , apr nil , may 20.0 , total 166.1 ( 218.5 ) . sunflowerse prev 48.6 , feb 61.5 , mar 25.1 , apr 14.5 , total 149.8 ( 145.3 ) . veget oil registr : sunoil prev 37.4 , feb 107.3 , mar 24.5 , apr 3.2 , may nil , jun 10.0 , total 182.4 ( 117.6 ) . linoil prev 15.9 , feb 23.6 , mar 20.4 , apr 2.0 , total 61.8 , ( 76.1 ) . soybean oil prev 3.7 , feb 21.1 , mar nil , apr 2.0 , may 9.0 , jun 13.0 , jul 7.0 , total 55.8 ( 33.7 ) . reuter  "
